ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,Lat,Long,Num_courts,Sport
3570,Agincourt Park,AGINCOURT PARK - Tennis Court Area,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Outdoor Tennis Court,Yes,Coated,-79.27436958,43.78822902,4,Tennis
29273,Agincourt Park,,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Clubhouse,,,-79.27471885,43.78837437,1,Tennis
2875,Alamosa Park,ALAMOSA PARK - Tennis Court Area,ALAMOSA PARK,111 ALAMOSA DR,North York,33,Club,Outdoor Tennis Court,No,Coated,-79.36940737,43.78104482,3,Tennis
3563,Albion Gardens Park,ALBION GARDENS PARK - Tennis Court Area,ALBION GARDENS PARK,41 DEANLEA CRT,Etobicoke York,1,Club,Outdoor Tennis Court,Yes,Coated,-79.55932899,43.73918301,3,Tennis
3559,Amesbury Park,AMESBURY PARK - Tennis Court Area,AMESBURY PARK,151 CULFORD RD,Etobicoke York,12,Public,Outdoor Tennis Court,No,Asphalt,-79.48371466,43.70687532,2,Tennis
3549,Ancaster Park,ANCASTER PARK - Tennis Court Area,ANCASTER PARK,41 ANCASTER RD,North York,9,Public,Outdoor Tennis Court,No,Asphalt,-79.46594992,43.73347393,3,Tennis
3247,Angela James Arena - Building Grounds,ANGELA JAMES ARENA - Tennis Court Area,ANGELA JAMES ARENA - Building Grounds,165 GRENOBLE DR,North York,26,Public,Outdoor Tennis Court,Yes,Asphalt,-79.32872459,43.7127046,4,Tennis
4000,Antibes Community Centre - Building Grounds,,ANTIBES COMMUNITY CENTRE - Building Grounds,140 ANTIBES DR,North York,10,Public,Outdoor Tennis Court,No,Asphalt,-79.44785017,43.78095139,1,Tennis
3537,Balmoral Park,BALMORAL PARK - Tennis Court Area,BALMORAL PARK,170 FAYWOOD BLVD,North York,10,Public,Outdoor Tennis Court,Yes,Asphalt,-79.45041331,43.74503774,3,Tennis
3527,Baycrest Park,BAYCREST PARK - Tennis Court Area,BAYCREST PARK,160 NEPTUNE DR,North York,15,Public,Outdoor Tennis Court,Yes,Asphalt,-79.44393144,43.72874555,2,Tennis
3522,Bayview Village Park,BAYVIEW VILLAGE PARK - Tennis Court Area,BAYVIEW VILLAGE PARK,2945 BAYVIEW AVE,North York,24,Public,Outdoor Tennis Court,No,Asphalt,-79.38916925,43.77333209,3,Tennis
