NAME,ADDRESS,NEIGHBOURHOOD
AMESBURY PARK - Outdoor Tennis Court (  1),151 CULFORD RD,Etobicoke York
AMESBURY PARK - Outdoor Tennis Court (  2),151 CULFORD RD,Etobicoke York
ANCASTER PARK - Outdoor Tennis Court (  1),41 ANCASTER RD,North York
ANCASTER PARK - Outdoor Tennis Court (  2),41 ANCASTER RD,North York
ANCASTER PARK - Outdoor Tennis Court (  3),41 ANCASTER RD,North York
ANGELA JAMES ARENA - Outdoor Tennis Court (  1),165 GRENOBLE DR,North York
ANGELA JAMES ARENA - Outdoor Tennis Court (  2),165 GRENOBLE DR,North York
ANGELA JAMES ARENA - Outdoor Tennis Court (  3),165 GRENOBLE DR,North York
ANGELA JAMES ARENA - Outdoor Tennis Court (  4),165 GRENOBLE DR,North York
ANTIBES COMMUNITY CENTRE - Outdoor Tennis Court,140 ANTIBES DR,North York
BALMORAL PARK - Outdoor Tennis Court (  1),170 FAYWOOD BLVD,North York
BALMORAL PARK - Outdoor Tennis Court (  2),170 FAYWOOD BLVD,North York
BALMORAL PARK - Outdoor Tennis Court (  3),170 FAYWOOD BLVD,North York
BAYCREST PARK - Outdoor Tennis Court (  1),160 NEPTUNE DR,North York
BAYCREST PARK - Outdoor Tennis Court (  2),160 NEPTUNE DR,North York
BAYVIEW VILLAGE PARK - Outdoor Tennis Court (  1),2945 BAYVIEW AVE,North York
BAYVIEW VILLAGE PARK - Outdoor Tennis Court (  2),2945 BAYVIEW AVE,North York
BAYVIEW VILLAGE PARK - Outdoor Tennis Court (  3),2945 BAYVIEW AVE,North York
BEAUMONDE HEIGHTS PARK - Outdoor Tennis Court (  1),44 AMARON AVE,Etobicoke York
BEAUMONDE HEIGHTS PARK - Outdoor Tennis Court (  2),44 AMARON AVE,Etobicoke York
BEAUMONDE HEIGHTS PARK - Outdoor Tennis Court (  3),44 AMARON AVE,Etobicoke York
BESTVIEW PARK - Outdoor Tennis Court (  1),115 BESTVIEW DR,North York
BESTVIEW PARK - Outdoor Tennis Court (  2),115 BESTVIEW DR,North York
BESTVIEW PARK - Outdoor Tennis Court (  3),115 BESTVIEW DR,North York
BIRCH PARK - Outdoor Tennis Court (  1),75 ARCADIAN CIR,Etobicoke York
BIRCH PARK - Outdoor Tennis Court (  2),75 ARCADIAN CIR,Etobicoke York
BIRCHMOUNT PARK - Outdoor Tennis Court (  1),95 BIRCHMOUNT RD,Scarborough
BIRCHMOUNT PARK - Outdoor Tennis Court (  2),95 BIRCHMOUNT RD,Scarborough
BLOORDALE PARK SOUTH - Outdoor Tennis Court (  1),230 RENFORTH DR,Etobicoke York
BLOORDALE PARK SOUTH - Outdoor Tennis Court (  2),230 RENFORTH DR,Etobicoke York
BUTTONWOOD PARK - Outdoor Tennis Court (  1),30 MULHAM PL,Etobicoke York
BUTTONWOOD PARK - Outdoor Tennis Court (  2),30 MULHAM PL,Etobicoke York
BUTTONWOOD PARK - Outdoor Tennis Court (  3),30 MULHAM PL,Etobicoke York
CARTWRIGHT SCHOOL PARK - Outdoor Tennis Court (  1),100 BENTWORTH AVE,North York
CARTWRIGHT SCHOOL PARK - Outdoor Tennis Court (  2),100 BENTWORTH AVE,North York
CEDARVALE PARK - Outdoor Tennis Court (  1),443 ARLINGTON AVE,Toronto East York
CEDARVALE PARK - Outdoor Tennis Court (  2),443 ARLINGTON AVE,Toronto East York
CEDARVALE PARK - Outdoor Tennis Court (  3),443 ARLINGTON AVE,Toronto East York
CEDARVALE PARK - Outdoor Tennis Court (  4),443 ARLINGTON AVE,Toronto East York
CHALKFARM PARK - Outdoor Tennis Court (  1),2230 JANE ST,Etobicoke York
CHALKFARM PARK - Outdoor Tennis Court (  2),2230 JANE ST,Etobicoke York
CHAMPLAIN PARKETTE - Outdoor Tennis Court (  1),50 CHAMPLAIN BLVD,North York
CHAMPLAIN PARKETTE - Outdoor Tennis Court (  2),50 CHAMPLAIN BLVD,North York
CLAIRLEA PARK - Outdoor Tennis Court (  1),45 FAIRFAX CRES,Scarborough
CLAIRLEA PARK - Outdoor Tennis Court (  2),45 FAIRFAX CRES,Scarborough
CLANTON PARK - Outdoor Tennis Court (  1),30 PALM DR,North York
CLANTON PARK - Outdoor Tennis Court (  2),30 PALM DR,North York
CLANTON PARK - Outdoor Tennis Court (  3),30 PALM DR,North York
CLIFFWOOD PARK - Outdoor Tennis Court (  1),280 CLIFFWOOD RD,North York
CLIFFWOOD PARK - Outdoor Tennis Court (  2),280 CLIFFWOOD RD,North York
